timestamp,sensor,x,y,z,w,accuracy
1740506222.315,accel,10.13705,-0.78529817,1.283292,,
1740506222.375,accel,10.007763,-0.7565677,1.2066777,,
1740506222.435,accel,10.022128,-1.4269443,1.043872,,
1740506222.495,accel,9.524135,-1.4700398,0.94331545,,
1740506222.556,accel,9.02614,-1.8100165,1.0342951,,
1740506222.615,accel,9.44752,-1.5753847,0.7230489,,
1740506222.676,accel,9.883265,-0.9959879,1.0630256,,
1740506222.734,accel,9.907207,-1.0199299,1.1252748,,
1740506222.796,accel,9.753978,-1.3120226,1.1875241,,
1740506222.855,accel,9.830592,-1.0630256,1.2737153,,
1740506222.917,accel,9.576807,-1.1971009,1.0199299,,
1740506222.974,accel,9.945514,-0.7422025,1.1683705,,
1740506223.035,accel,9.768343,-0.7757214,1.2785037,,
1740506223.094,accel,9.80665,-1.1348516,1.4460979,,
1740506223.156,accel,9.639056,-1.364695,1.3503298,,
1740506223.215,accel,9.753978,-1.8243817,1.2210429,,
1740506223.276,accel,9.940725,-1.388637,0.9624691,,
1740506223.335,accel,10.0269165,-0.7134721,0.9911995,,
1740506223.396,accel,10.113108,-0.78050977,0.91937345,,
1740506223.455,accel,9.844957,-1.3455414,0.9624691,,
1740506223.516,accel,9.80665,-1.5514427,1.0390835,,
1740506223.575,accel,9.77792,-1.1779473,0.8379706,,
1740506223.636,accel,9.65821,-1.3503298,0.92416185,,
1740506223.695,accel,9.849746,-1.4652514,1.0773908,,
1740506223.758,accel,9.797073,-1.6567876,1.0055647,,
1740506223.815,accel,9.773131,-1.7429788,0.81881696,,
1740506223.877,accel,9.11712,-1.412579,0.79966336,,
1740506223.934,accel,9.078813,-1.364695,0.9576807,,
1740506223.997,accel,9.974244,-1.0821792,1.2497733,,
1740506224.056,accel,9.840169,-1.1875241,1.2593501,,
1740506224.117,accel,9.878476,-1.1540052,1.3838485,,
1740506224.175,accel,9.964667,-0.90979666,0.93852705,,
1740506224.236,accel,10.1226845,-1.0151415,0.90979666,,
1740506224.295,accel,9.682152,-1.5227122,1.1540052,,
