timestamp,sensor,x,y,z,w,accuracy
1740505559.184,accel,2.0685902,5.3582234,7.589619,,
1740505559.244,accel,4.663905,6.0477533,7.896077,,
1740505559.304,accel,2.834735,3.7732618,6.4404025,,
1740505559.364,accel,4.429273,5.9041014,6.009446,,
1740505559.425,accel,4.855441,7.4986396,5.899313,,
1740505559.483,accel,5.81791,6.196194,5.161899,,
1740505559.543,accel,4.745308,7.9008656,4.6160207,,
1740505559.603,accel,3.3662477,7.967903,2.3415294,,
1740505559.664,accel,4.721366,7.771579,3.3758245,,
1740505559.723,accel,4.486734,7.73806,2.60968,,
1740505559.783,accel,4.6686935,8.949526,3.2369606,,
1740505559.843,accel,3.3135753,7.575254,1.532289,,
1740505559.903,accel,4.012682,7.4746976,2.6192567,,
1740505559.964,accel,3.2369606,6.4260373,-0.05267244,,
1740505560.023,accel,4.9224787,6.459556,1.6136919,,
1740505560.084,accel,6.277597,6.215348,4.0892963,,
1740505560.144,accel,6.967127,5.626374,5.2863975,,
1740505560.203,accel,7.9966335,6.090849,6.655881,,
1740505560.263,accel,6.9000893,5.0661306,5.731719,,
1740505560.323,accel,8.552089,5.7987566,5.425261,,
1740505560.383,accel,7.599196,5.0374002,5.7125654,,
1740505560.444,accel,7.9966335,4.8362875,4.6591167,,
1740505560.503,accel,8.542512,4.783615,5.2528787,,
1740505560.563,accel,8.025364,4.1132383,4.084508,,
1740505560.667,accel,8.51857,4.4005427,4.1036615,,
1740505560.717,accel,7.800309,4.0318356,3.5051112,,
1740505560.762,accel,8.48984,4.5058875,3.3901896,,
1740505560.803,accel,8.719683,4.4675803,3.6152446,,
1740505560.863,accel,8.724471,4.3287168,3.347094,,
1740505560.923,accel,8.643068,4.3047748,3.5817258,,
1740505560.983,accel,8.279149,4.19943,3.1747115,,
1740505561.043,accel,8.236053,4.2042184,3.064578,,
1740505561.102,accel,8.087613,4.185065,3.3183637,,
1740505561.163,accel,8.432379,4.213795,3.4572272,,
1740505561.223,accel,8.298303,4.237737,3.7828386,,
1740505561.282,accel,8.403648,4.247314,3.4859576,,
1740505561.343,accel,8.226477,4.333505,3.763685,,
1740505561.402,accel,8.274361,4.390966,3.0310593,,
1740505561.462,accel,8.671799,4.4580035,3.1986535,,
1740505561.523,accel,8.250419,4.213795,3.323152,,
1740505561.583,accel,7.9008656,4.2185836,3.1172507,,
1740505561.642,accel,8.073248,4.4723687,3.0693667,,
1740505561.702,accel,8.111555,4.5154643,3.0071173,,
1740505561.762,accel,7.762002,4.6495395,2.5378537,,
1740505561.823,accel,8.274361,5.1475334,2.5139117,,
1740505561.883,accel,9.208099,5.60722,3.1411927,,
1740505561.942,accel,7.9726915,5.875371,2.585738,,
1740505562.003,accel,10.189722,6.1770406,2.5953147,,
1740505562.063,accel,7.16824,4.7884035,2.8299465,,
1740505562.122,accel,8.346188,4.606444,2.456451,,
1740505562.184,accel,7.393295,3.821146,3.2082303,,
1740505562.243,accel,7.273585,2.8921957,3.0262709,,
1740505562.325,accel,8.66701,3.3039982,3.8738184,,
1740505562.381,accel,8.710106,2.5091233,4.6782703,,
1740505562.427,accel,7.666234,1.9536686,4.3861775,,
1740505562.482,accel,7.723695,3.2609026,4.1180267,,
1740505562.542,accel,9.150639,4.8123455,2.5378537,,
1740505562.603,accel,9.150639,5.48751,1.5179238,,
1740505562.662,accel,9.409213,7.632715,-0.23463176,,
1740505562.722,accel,6.8761473,3.490746,2.0015526,,
1740505562.783,accel,8.590396,3.9073372,0.9816227,,
1740505562.842,accel,9.112331,5.707777,0.40222588,,
1740505562.902,accel,8.1881695,4.865018,0.7565677,,
1740505562.963,accel,8.652645,5.3582234,0.49799395,,
1740505563.023,accel,8.355764,5.0421886,0.7038953,,
1740505563.082,accel,8.12592,5.1571107,1.1252748,,
1740505563.142,accel,8.283937,5.109226,1.5705963,,
1740505563.202,accel,8.384495,5.0661306,1.3934253,,
1740505563.263,accel,8.255207,4.9895163,2.2697031,,
