timestamp,sensor,x,y,z,w,accuracy
1740377273.866,accel,10.328587,-0.009576807,4.2425256,,
1740377273.927,accel,9.251195,-0.34955344,3.3087866,,
1740377273.988,accel,9.586384,-0.17717093,3.1507695,,
1740377274.047,accel,9.337387,-0.2633622,3.7493198,,
1740377274.106,accel,8.839393,-0.8571242,3.8594532,,
1740377274.167,accel,9.074024,-0.8331822,4.1132383,,
1740377274.227,accel,8.920795,-0.9959879,3.9791632,,
1740377274.287,accel,8.791509,-0.89064306,4.1706996,,
1740377274.346,accel,8.810662,-0.5506664,4.1659107,,
1740377274.409,accel,8.48984,-0.6847417,4.3526587,,
1740377274.466,accel,8.37013,-0.61770403,4.357447,,
1740377274.467,accel,8.298303,-0.59855044,4.261679,,
1740377274.528,accel,8.552089,-0.4357447,4.453215,,
1740377274.586,accel,8.6334915,-0.7182605,4.7500963,,
1740377274.647,accel,8.954314,-0.6607997,5.195418,,
1740377274.707,accel,9.399636,-0.33039984,4.7261543,,
1740377274.767,accel,9.3421755,-0.24899697,4.1611223,,
1740377274.827,accel,9.169792,-0.30645782,4.0940847,,
1740377274.887,accel,9.083601,-0.19632454,3.5482068,,
1740377274.947,accel,9.040505,-0.40701428,4.012682,,
1740377275.007,accel,9.107543,-0.62249243,3.739743,,
1740377275.068,accel,9.289502,-0.5554548,3.9791632,,
1740377275.127,accel,9.102755,-0.21068975,3.442862,,
1740377275.187,accel,9.14585,0.20111294,2.882619,,
1740377275.247,accel,9.251195,0.10055647,3.5817258,,
1740377275.306,accel,9.088389,-0.090979666,3.6966474,,
1740377275.367,accel,9.289502,0.06703765,3.643975,,
1740377275.427,accel,9.299079,-0.019153614,3.715801,,
1740377275.487,accel,9.208099,-0.36391866,4.381389,,
1740377275.547,accel,9.255983,-0.14844051,3.9839516,,
1740377275.608,accel,9.11712,-0.17238252,3.9360676,,
1740377275.609,accel,9.006987,-0.16759412,3.7828386,,
1740377275.667,accel,9.222465,-0.019153614,3.9456444,,
1740377275.727,accel,9.006987,-0.29688102,4.0797195,,
1740377275.786,accel,9.14585,-0.35434186,4.146757,,
1740377275.847,accel,8.968679,-0.34476504,3.9695864,,
1740377275.912,accel,9.126697,-0.1340753,3.7301662,,
1740377275.967,accel,9.270349,0.12449849,3.739743,,
1740377276.027,accel,9.165004,-0.16280572,3.892972,,
