timestamp,sensor,x,y,z,w,accuracy
1740506064.723,accel,9.974244,3.5194764,1.5753847,,
1740506064.784,accel,7.8290396,3.6822822,4.003105,,
1740506064.843,accel,9.279925,3.6870706,3.5625722,,
1740506064.904,accel,9.299079,0.40701428,7.896077,,
1740506064.963,accel,8.643068,4.3239284,6.4547677,,
1740506065.024,accel,3.6631286,3.940856,7.843405,,
1740506065.145,accel,3.7253778,4.5441947,6.1387334,,
1740506065.208,accel,2.5474305,6.588843,5.841852,,
1740506065.347,accel,3.763685,7.345411,7.6375036,,
1740506065.382,accel,1.7860745,6.1004257,6.7708025,,
1740506065.384,accel,2.408567,7.273585,5.693412,,
1740506065.443,accel,2.4995465,7.747637,4.7979803,,
1740506065.503,accel,3.1842883,7.843405,4.936844,,
1740506065.599,accel,2.4899697,7.2544312,5.645528,,
1740506065.655,accel,2.7246015,7.608773,5.9041014,,
1740506065.683,accel,2.9879637,7.4507556,6.2105594,,
1740506065.743,accel,2.8538885,7.7093296,5.3438582,,
1740506065.802,accel,2.944868,7.4603324,6.6846113,,
1740506065.864,accel,2.2936451,7.28795,5.353435,,
1740506066.15,accel,2.7150247,7.0102224,6.2105594,,
1740506066.179,accel,2.2361844,6.172252,4.879383,,
1740506066.254,accel,3.1172507,7.273585,8.576031,,
1740506066.282,accel,4.146757,6.9383965,6.2249246,,
1740506066.343,accel,3.7924154,5.00867,7.0006456,,
1740506066.403,accel,3.5529952,2.0973208,10.817003,,
1740506066.471,accel,4.486734,3.0119057,11.611878,,
1740506066.526,accel,4.3718123,6.0381765,5.837064,,
1740506066.583,accel,4.1276035,6.5026517,4.9320555,,
1740506066.643,accel,5.1523223,7.2592196,5.5401826,,
1740506066.704,accel,5.985504,6.4787097,6.8426285,,
1740506066.762,accel,5.813122,5.923255,8.101978,,
1740506066.824,accel,4.721366,5.8083334,6.14831,,
1740506066.883,accel,4.6160207,6.3781533,5.2480903,,
1740506066.944,accel,4.9655743,6.7085533,5.3725886,,
1740506067.002,accel,5.0661306,6.7947445,5.961562,,
1740506067.064,accel,4.841076,6.789956,6.14831,,
1740506067.123,accel,4.1946416,6.5505357,6.2488666,,
1740506067.185,accel,4.9081135,6.8282633,6.7324953,,
1740506067.243,accel,4.4723687,6.05733,5.865794,,
1740506067.304,accel,4.596867,6.1530986,6.339846,,
1740506067.363,accel,3.7732618,5.659893,5.583278,,
1740506067.424,accel,4.3861775,5.9998693,6.4308257,,
1740506067.483,accel,4.4675803,6.129156,6.7085533,,
1740506067.544,accel,4.390966,6.1770406,6.1195793,,
1740506067.604,accel,4.960786,6.4499793,6.4978633,,
1740506067.664,accel,4.697424,6.2632318,6.325481,,
1740506067.723,accel,5.109226,6.38773,6.6846113,,
1740506067.784,accel,4.721366,6.0142345,6.0525417,,
1740506067.843,accel,4.5633483,5.803545,6.105214,,
1740506067.904,accel,4.5441947,5.813122,5.4779334,,
1740506067.965,accel,4.7165775,5.961562,5.6359506,,
1740506068.024,accel,4.453215,6.081272,5.592855,,
1740506068.083,accel,3.6487634,4.88896,5.2385135,,
1740506068.144,accel,6.2967505,4.5777135,5.473145,,
1740506068.203,accel,3.572149,5.3199162,8.63828,,
1740506068.264,accel,6.789956,6.5265937,8.499416,,
1740506068.324,accel,7.2113357,6.885724,10.376471,,
1740506068.385,accel,5.4683566,5.57849,9.02614,,
1740506068.446,accel,6.727707,7.0245876,9.3421755,,
1740506068.504,accel,6.0956373,5.923255,8.00621,,
1740506068.564,accel,6.517017,5.45878,5.4539914,,
1740506068.624,accel,5.080496,5.391742,6.0238113,,
1740506068.683,accel,3.572149,3.9312792,4.6112323,,
1740506068.744,accel,3.7541082,5.659893,5.482722,,
1740506068.804,accel,3.9791632,6.622362,4.6160207,,
1740506068.865,accel,3.9552212,7.1634517,2.7485435,,
1740506068.923,accel,3.7062242,7.7907324,3.040636,,
1740506068.985,accel,3.6583402,8.173804,1.2497733,,
1740506069.045,accel,3.4284968,8.523358,2.7868507,,
1740506069.105,accel,3.763685,9.203311,0.9576807,,
1740506069.163,accel,5.1379566,10.395624,1.8866309,,
1740506069.224,accel,5.506664,10.457873,1.5945383,,
1740506069.284,accel,4.8745947,9.088389,2.1260512,,
1740506069.345,accel,4.390966,8.863335,2.1691468,,
1740506069.404,accel,5.5162406,10.342952,1.6759412,,
1740506069.464,accel,4.510676,9.174581,2.9257145,,
1740506069.524,accel,3.5769374,9.093178,2.0590134,,
1740506069.584,accel,2.3223755,7.4268136,1.8148049,,
1740506069.643,accel,0.9959879,8.149862,3.5003228,,
1740506069.705,accel,1.6089035,7.785944,2.815581,,
1740506064.751,gyro,-0.12583824,0.79901177,0.09407325,,
1740506064.811,gyro,0.6805039,3.1202996,0.6805039,,
1740506064.872,gyro,0.8564331,4.201531,1.1203269,,
1740506064.931,gyro,2.4972172,4.6682324,1.1325442,,
1740506064.992,gyro,0.82344633,2.021964,-0.50579643,,
1740506065.185,gyro,1.4404203,0.64996064,-0.29077184,,
1740506065.396,gyro,0.68294734,0.04153884,0.30543262,,
1740506065.399,gyro,0.65240407,-0.0036651916,0.31764993,,
1740506065.407,gyro,0.58032197,0.02687807,0.36774087,,
1740506065.414,gyro,0.50701815,0.008552114,0.3481932,,
1740506065.423,gyro,0.44348818,-0.13194689,0.3323107,,
1740506065.431,gyro,0.41050145,-0.16737708,0.34330627,,
1740506065.439,gyro,0.35063666,-0.13561209,0.31887165,,
1740506065.448,gyro,0.27977628,-0.10995574,0.2919936,,
1740506065.455,gyro,0.22479841,-0.10873401,0.2932153,,
1740506065.463,gyro,0.172264,-0.0720821,0.31887165,,
1740506065.471,gyro,0.1160644,-0.02321288,0.3555236,,
1740506065.478,gyro,0.061086524,0.002443461,0.37995818,,
1740506065.487,gyro,-0.018325957,0.008552114,0.38728857,,
1740506065.495,gyro,-0.08552113,0.015882496,0.35185838,,
1740506065.511,gyro,-0.17837265,0.06352998,0.2602286,,
1740506065.519,gyro,-0.19547687,0.112399206,0.21746802,,
1740506065.528,gyro,-0.21135938,0.14905111,0.19914207,,
1740506065.535,gyro,-0.23579398,0.1881465,0.18936823,,
1740506065.663,gyro,-0.12583824,-0.06963864,0.376293,,
1740506065.671,gyro,-0.15760323,-0.13194689,0.4361578,,
1740506065.679,gyro,-0.18325958,-0.10995574,0.45814893,,
1740506065.687,gyro,-0.18203785,-0.065973446,0.47647488,,
1740506065.696,gyro,-0.14782938,-0.013439035,0.49235737,,
1740506065.703,gyro,-0.09896017,0.065973446,0.50823987,,
1740506065.711,gyro,-0.059864793,0.11728613,0.5119051,,
1740506065.718,gyro,-0.02687807,0.14049901,0.49357912,,
1740506065.727,gyro,-0.013439035,0.09285152,0.45814893,,
1740506065.735,gyro,-0.02565634,0.012217305,0.4092797,,
1740506065.751,gyro,-0.1001819,-0.12217305,0.312763,,
1740506065.759,gyro,-0.16982053,-0.13072516,0.267559,,
1740506065.767,gyro,-0.23701571,-0.07696902,0.23945917,,
1740506065.775,gyro,-0.28344148,0.008552114,0.24801129,,
1740506065.783,gyro,-0.31642818,0.08552113,0.28588495,,
1740506065.791,gyro,-0.33475417,0.1441642,0.33475417,,
1740506065.799,gyro,-0.33475417,0.17715092,0.36774087,,
1740506065.807,gyro,-0.32620203,0.24556783,0.37995818,,
1740506065.815,gyro,-0.31520647,0.24190263,0.3811799,,
1740506065.823,gyro,-0.29443705,0.20158553,0.36896262,,
1740506065.831,gyro,-0.28099802,0.16982053,0.35796702,,
1740506065.839,gyro,-0.2724459,0.13561209,0.3567453,,
1740506065.847,gyro,-0.27488935,0.073303826,0.3652974,,
1740506065.855,gyro,-0.2932153,-0.02565634,0.3811799,,
1740506065.871,gyro,-0.36163223,-0.18325958,0.38362336,,
1740506065.88,gyro,-0.3726278,-0.19792034,0.37751472,,
1740506065.887,gyro,-0.36163223,-0.18081611,0.38362336,,
1740506065.895,gyro,-0.344528,-0.1685988,0.3933972,,
1740506065.903,gyro,-0.32375857,-0.13439035,0.38728857,,
1740506066.149,gyro,-0.312763,-0.105068825,0.36774087,,
1740506066.278,gyro,-1.5968018,0.13683382,-0.5766568,,
1740506066.279,gyro,-1.473407,0.17715092,-0.45204028,,
1740506066.287,gyro,-0.54733527,-0.84421575,-0.7696902,,
1740506066.295,gyro,-0.40194935,-1.210735,-0.8588765,,
1740506066.303,gyro,-0.18936823,-1.6297885,-0.97494096,,
1740506066.311,gyro,-0.0036651916,-1.8973475,-1.073901,,
1740506066.319,gyro,0.24678956,-2.2540927,-1.1911873,,
1740506066.327,gyro,0.48624873,-2.533869,-1.2644911,,
1740506066.335,gyro,0.73426,-2.7598891,-1.3622295,,
1740506066.351,gyro,0.87964594,-3.097087,-1.428203,,
1740506066.359,gyro,0.75502944,-3.1202996,-1.3683381,,
1740506066.367,gyro,0.44593164,-3.0702088,-1.2363913,,
1740506066.375,gyro,0.007330383,-2.9541442,-1.0616838,,
1740506066.383,gyro,-0.46914452,-2.77455,-0.87598073,,
1740506066.391,gyro,-0.86376345,-2.5497515,-0.70738196,,
1740506066.399,gyro,-1.073901,-2.3640485,-0.5729916,,
1740506066.407,gyro,-1.0861185,-2.257758,-0.48991394,,
1740506066.415,gyro,-0.9138544,-2.13925,-0.3921755,,
1740506066.527,gyro,2.117259,-1.1301007,0.28955013,,
1740506066.535,gyro,1.8423696,-0.9981538,0.2773328,,
1740506066.543,gyro,1.5968018,-0.86742866,0.28099802,,
1740506066.551,gyro,1.2168436,-0.63529986,0.32742378,,
1740506066.559,gyro,0.8173377,-0.3567453,0.4092797,,
1740506066.567,gyro,0.41416663,-0.004886922,0.5143485,,
1740506066.575,gyro,0.034208454,0.29932398,0.61941737,,
1740506066.591,gyro,-0.5021312,0.6805039,0.77213365,,
1740506066.599,gyro,-0.7049385,0.8405506,0.86498517,,
1740506066.607,gyro,-0.84788096,0.94806284,0.95417154,,
1740506066.615,gyro,-0.9334021,0.99204516,1.0213667,,
1740506066.623,gyro,-0.96761054,0.9639453,1.0494665,,
1740506066.631,gyro,-0.96761054,0.906524,1.0384709,,
1740506066.639,gyro,-0.9272934,0.79412484,0.99082345,,
1740506066.648,gyro,-0.8576548,0.675617,0.9236283,,
1740506066.655,gyro,-0.77579886,0.5705481,0.8539896,,
1740506066.664,gyro,-0.68661255,0.47403142,0.79779,,
1740506066.671,gyro,-0.59986967,0.3726278,0.7672467,,
1740506066.679,gyro,-0.5412266,0.3042109,0.75991637,,
1740506066.687,gyro,-0.4728097,0.23457226,0.75991637,,
1740506066.695,gyro,-0.41050145,0.17959438,0.7452556,,
1740506066.712,gyro,-0.26511553,0.035430185,0.6230826,,
1740506066.719,gyro,-0.14294247,-0.07086037,0.5216789,,
1740506066.728,gyro,-0.028099801,-0.15515977,0.43127087,,
1740506066.735,gyro,0.16371189,-0.25411993,0.2968805,,
1740506066.744,gyro,0.38606682,-0.31887165,0.15760323,,
1740506066.751,gyro,0.61453044,-0.36041048,0.02321288,,
1740506066.76,gyro,0.8197812,-0.40317106,-0.0842994,,
1740506066.767,gyro,0.97127575,-0.4251622,-0.12950343,,
1740506066.775,gyro,1.0458013,-0.4251622,-0.13561209,,
1740506066.784,gyro,1.0983357,-0.37751472,-0.09162979,,
1740506066.792,gyro,1.1032226,-0.28099802,-0.02076942,,
1740506066.799,gyro,1.0665708,-0.15271631,0.05009095,,
1740506066.807,gyro,1.001819,0.010995574,0.10995574,,
1740506066.815,gyro,0.93218035,0.14172074,0.14538592,,
1740506066.831,gyro,0.6780604,0.43004912,0.25045475,,
1740506066.839,gyro,0.5314528,0.52534413,0.31520647,,
1740506066.847,gyro,0.3848451,0.5852089,0.3848451,,
1740506066.855,gyro,0.24801129,0.6096435,0.45204028,,
1740506066.864,gyro,0.15393804,0.59864795,0.5021312,,
1740506066.872,gyro,0.04520403,0.5742133,0.5571091,,
1740506066.88,gyro,-0.034208454,0.5705481,0.5852089,,
1740506066.888,gyro,-0.09162979,0.59131753,0.59620446,,
1740506066.895,gyro,-0.13805555,0.6230826,0.59864795,,
1740506066.904,gyro,-0.16982053,0.6377433,0.59498274,,
1740506066.911,gyro,-0.1881465,0.63041294,0.5864306,,
1740506066.919,gyro,-0.19547687,0.6035349,0.5644395,,
1740506066.927,gyro,-0.18448131,0.5522222,0.5314528,,
1740506066.935,gyro,-0.15760323,0.47891834,0.4972443,,
1740506066.952,gyro,-0.065973446,0.30543262,0.408058,,
1740506066.96,gyro,-0.017104227,0.24556783,0.37140608,,
1740506066.968,gyro,0.05009095,0.18448131,0.32498032,,
1740506066.975,gyro,0.10995574,0.14782938,0.2932153,,
1740506066.984,gyro,0.1563815,0.12950343,0.27000242,,
1740506066.991,gyro,0.17715092,0.13561209,0.2565634,,
1740506066.999,gyro,0.17470746,0.15271631,0.25289822,,
1740506067.007,gyro,0.1563815,0.18203785,0.25534168,,
1740506067.015,gyro,0.12095132,0.20280726,0.26511553,,
1740506067.024,gyro,0.07574729,0.204029,0.28099802,,
1740506067.032,gyro,0.029321533,0.19058995,0.29932398,,
1740506067.039,gyro,-0.013439035,0.16371189,0.3213151,,
1740506067.048,gyro,-0.040317107,0.14538592,0.33475417,,
1740506067.055,gyro,-0.059864793,0.12461651,0.344528,,
1740506067.071,gyro,-0.06841691,0.12950343,0.3200934,,
1740506067.079,gyro,-0.06719518,0.16249016,0.2883284,,
1740506067.087,gyro,-0.07574729,0.21502456,0.26145032,,
1740506067.095,gyro,-0.08552113,0.25167647,0.24923302,,
1740506067.104,gyro,-0.10140363,0.2761111,0.2443461,,
1740506067.112,gyro,-0.11362094,0.26267207,0.2602286,,
1740506067.12,gyro,-0.111177474,0.2284636,0.28344148,,
1740506067.128,gyro,-0.08674286,0.1685988,0.31031954,,
1740506067.136,gyro,-0.043982297,0.09285152,0.33964106,,
1740506067.146,gyro,0.0036651916,0.04520403,0.35430184,,
1740506067.151,gyro,0.07819075,-0.0012217305,0.36651915,,
1740506067.163,gyro,0.15149458,-0.019547688,0.35796702,,
1740506067.169,gyro,0.2125811,-0.029321533,0.33353242,,
1740506067.177,gyro,0.25045475,-0.030543262,0.3005457,,
1740506067.192,gyro,0.25534168,0.029321533,0.2284636,,
1740506067.201,gyro,0.22724187,0.07086037,0.19914207,,
1740506067.209,gyro,0.17715092,0.10629055,0.18203785,,
1740506067.22,gyro,0.11728613,0.13316862,0.17348573,,
