timestamp,sensor,x,y,z,w,accuracy
1740372893.517,accel,8.499416,3.3039982,4.1036615,,
1740372893.576,accel,8.5473,3.4093432,3.6774938,,
1740372893.637,accel,8.327033,2.3942018,5.2145715,,
1740372893.697,accel,8.212111,2.8299465,4.414908,,
1740372893.756,accel,8.451532,3.2704794,3.3327289,,
1740372893.816,accel,8.1642275,2.743755,4.7740383,,
1740372893.876,accel,8.508993,3.016694,4.927267,,
1740372893.937,accel,8.671799,3.1603463,4.050989,,
1740372893.996,accel,8.561666,2.9496565,4.510676,,
1740372894.056,accel,8.24563,2.6240451,4.5058875,,
1740372894.057,accel,8.619126,3.289633,4.3382936,,
1740372894.117,accel,8.513782,2.9735985,4.477157,,
1740372894.177,accel,8.413225,2.9496565,4.232949,,
1740372894.237,accel,8.475474,2.7341783,4.807557,,
1740372894.297,accel,8.446744,2.6623523,4.4580035,,
1740372894.299,accel,8.690952,3.2321723,4.2425256,,
1740372894.358,accel,8.350976,2.5091233,4.7884035,,
1740372894.418,accel,8.39886,2.9113493,4.1515455,,
1740372894.478,accel,8.413225,3.2609026,4.31914,,
1740372894.572,accel,8.379706,3.1411927,4.429273,,
1740372894.618,accel,8.456321,3.1651347,4.5202527,,
1740372894.655,accel,8.576031,3.5625722,4.3478703,,
1740372894.717,accel,8.178593,2.791639,4.6255975,,
1740372894.777,accel,8.264784,2.8443117,4.122815,,
1740372894.837,accel,8.470686,2.896984,4.5633483,,
1740372894.896,accel,8.327033,3.0214825,4.4436383,,
1740372894.957,accel,8.212111,3.2848446,4.2281604,,
1740372895.016,accel,8.317456,3.241749,4.232949,,
1740372895.077,accel,8.1881695,3.0310593,4.582502,,
1740372895.136,accel,8.269572,3.0693667,4.596867,,
1740372895.197,accel,8.250419,2.8921957,4.501099,,
1740372895.257,accel,8.336611,3.064578,4.3622355,,
1740372895.317,accel,8.346188,3.1507695,4.606444,,
1740372895.377,accel,8.2169,3.083732,4.19943,,
1740372895.437,accel,8.212111,3.1555579,4.050989,,
1740372895.497,accel,8.322245,3.2130187,4.256891,,
1740372895.558,accel,8.169016,2.9161377,4.4915223,,
1740372895.617,accel,8.456321,3.4141316,4.501099,,
1740372895.678,accel,8.298303,2.9352913,4.343082,,
1740372895.737,accel,8.341399,3.074155,4.663905,,
1740372895.798,accel,8.221688,2.9352913,4.807557,,
1740372895.857,accel,8.350976,3.122039,4.5394063,,
1740372895.918,accel,8.317456,2.906561,4.3622355,,
1740372895.978,accel,8.365341,3.0071173,4.4484267,,
1740372896.039,accel,8.360553,3.016694,4.084508,,
1740372896.098,accel,8.303091,3.1172507,4.5202527,,
1740372896.099,accel,8.298303,3.1794999,4.429273,,
1740372896.213,accel,8.298303,3.289633,4.4005427,,
1740372896.271,accel,8.413225,3.3135753,4.390966,,
1740372896.313,accel,8.37013,3.1124623,4.55856,,
1740372896.337,accel,8.355764,2.9783869,4.6495395,,
1740372896.399,accel,8.255207,3.074155,4.295198,,
1740372896.458,accel,8.379706,3.217807,4.4244847,,
1740372896.518,accel,8.288726,2.8921957,4.572925,,
1740372896.578,accel,8.307879,3.122039,4.6686935,,
1740372896.638,accel,8.317456,3.1172507,4.367024,,
1740372896.698,accel,8.327033,3.040636,4.644751,,
1740372896.758,accel,8.1881695,3.0262709,4.3478703,,
1740372896.818,accel,8.288726,3.193865,4.3718123,,
1740372896.878,accel,8.341399,3.2130187,4.381389,,
1740372896.937,accel,8.384495,3.1364043,4.548983,,
1740372896.999,accel,8.269572,3.064578,4.55856,,
1740372897.058,accel,8.341399,3.2513258,4.333505,,
1740372897.118,accel,8.274361,3.1268275,4.606444,,
1740372897.178,accel,8.303091,3.2082303,4.31914,,
1740372897.238,accel,8.274361,3.145981,4.630386,,
1740372897.298,accel,8.255207,3.1411927,4.525041,,
1740372897.358,accel,8.303091,3.2848446,4.237737,,
1740372897.418,accel,8.221688,3.098097,4.7644615,,
1740372897.479,accel,8.274361,3.2321723,4.5298295,,
1740372897.538,accel,8.283937,3.2034419,4.256891,,
1740372897.599,accel,8.322245,3.3135753,4.5394063,,
1740372897.658,accel,8.202535,3.0933087,4.596867,,
1740372897.718,accel,8.298303,3.3279405,4.534618,,
1740372897.779,accel,8.24563,3.3614593,4.2904096,,
1740372897.877,accel,8.2169,3.1507695,4.548983,,
1740372897.925,accel,8.283937,3.1507695,4.510676,,
1740372897.958,accel,8.298303,3.3327289,4.1946416,,
1740372898.018,accel,8.192958,3.265691,4.477157,,
1740372898.019,accel,8.24563,3.3997664,4.2281604,,
1740372898.079,accel,8.288726,3.3806129,4.3766007,,
1740372898.139,accel,8.279149,3.2130187,4.414908,,
1740372898.199,accel,8.207323,3.169923,4.501099,,
1740372898.259,accel,8.221688,3.2609026,4.261679,,
1740372898.319,accel,8.384495,3.3997664,4.414908,,
1740372898.379,accel,8.255207,3.2944214,4.5441947,,
1740372898.439,accel,8.250419,3.2273839,4.4196963,,
1740372898.499,accel,8.231265,3.2082303,4.501099,,
1740372893.556,gyro,-0.16126843,-0.081855945,-0.009773844,,
1740372893.616,gyro,-0.096516706,0.12461651,0.11362094,,
1740372893.677,gyro,0.17959438,0.19547687,0.16982053,,
1740372893.736,gyro,0.05131268,-0.07941248,0.02321288,,
1740372893.796,gyro,-0.013439035,-0.061086524,0.15027285,,
1740372893.855,gyro,0.1160644,0.062308256,0.14294247,,
1740372893.917,gyro,0.05497787,-0.019547688,0.05009095,,
1740372893.976,gyro,0.06719518,-0.030543262,-0.0061086523,,
1740372894.036,gyro,0.10995574,0.02321288,0.0720821,,
1740372894.096,gyro,-0.05131268,0.004886922,-0.111177474,,
1740372894.156,gyro,-0.040317107,0.017104227,-0.043982297,,
1740372894.216,gyro,0.062308256,0.021991149,-0.065973446,,
1740372894.276,gyro,-0.037873644,0.028099801,0.02443461,,
1740372894.337,gyro,0.02443461,0.10873401,0.07819075,,
1740372894.397,gyro,0.0842994,0.0061086523,0.07086037,,
1740372894.458,gyro,-0.010995574,-0.058643065,-0.07452556,,
1740372894.617,gyro,-0.009773844,-0.040317107,-0.11484267,,
1740372894.654,gyro,-0.06352998,-0.04153884,-0.25778514,,
1740372894.696,gyro,0.24190263,0.13683382,-0.12705997,,
1740372894.756,gyro,-0.20769419,-0.009773844,-0.004886922,,
