filepath,filename,label,duration,sample_rate,zero_crossing_rate,spectral_centroid,spectral_rolloff,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,rms,tempo
Audios/David/Irma-03_05.ogg,Irma-03_05.ogg,David,1.7178125,16000,0.08162434895833333,1486.1529775049933,2851.2731481481483,-304.7396,88.90572,4.2966785,13.108062,-9.506427,-28.570671,-7.819407,2.0969267,-11.9371195,2.6180725,-6.1041694,0.03195781,2.3371358,0.07406047,[133.92857143]
Audios/David/Irma-03_04.ogg,Irma-03_04.ogg,David,1.5978125,16000,0.079951171875,1466.7156943368389,2813.59375,-351.58807,108.83203,-0.6395824,16.190825,-4.380597,-23.570276,-9.714975,3.0634315,-4.419771,-1.275463,-0.20141481,-4.02229,4.696923,0.05844625,[144.23076923]
Audios/David/Mariana-02_02.ogg,Mariana-02_02.ogg,David,1.5178125,16000,0.118896484375,1710.670884959133,3589.5182291666665,-328.93393,95.01571,-8.027757,12.734108,-2.8526535,-16.66121,-15.651749,-7.194355,-9.1139765,-11.896529,-17.007486,-5.375998,-4.4654827,0.061573286,[187.5]
Audios/David/Erik-02_02.ogg,Erik-02_02.ogg,David,2.2735,16000,0.09153917100694445,1497.3847442092492,3192.3828125,-313.32208,71.61309,-8.921078,21.39958,-3.8535414,-2.5587015,-13.204189,-8.671945,-2.1378176,-11.195029,-11.891448,-7.8880386,0.110367924,0.073797464,[208.33333333]
Audios/David/Irma-01_01.ogg,Irma-01_01.ogg,David,2.6178125,16000,0.1458472275152439,1867.4506899383052,3725.3239329268295,-332.41226,81.94514,3.7228572,20.522936,-1.0936755,-17.508635,-3.9602416,3.0890872,-11.169109,-3.9459705,-0.089553,-9.006984,-2.737227,0.060259894,[133.92857143]
Audios/David/Irma-01_03.ogg,Irma-01_03.ogg,David,2.1378125,16000,0.12718633395522388,1685.6628745542573,3291.277985074627,-298.43753,86.1836,6.975042,25.502337,-2.8032491,-23.810125,-8.862646,-2.5851307,-19.19165,-7.5710177,-2.3337831,-10.379792,-1.8907187,0.07817264,[144.23076923]
Audios/David/Mariana-02_01.ogg,Mariana-02_01.ogg,David,1.6178125,16000,0.0810546875,1480.7953573849416,2935.814950980392,-363.41995,85.53154,0.38691226,18.959482,-7.0758567,-15.685966,-24.370302,-6.9914885,-9.730897,-16.661665,-13.835269,-4.7823024,-5.949574,0.05900318,[187.5]
Audios/David/Erik-02_01.ogg,Erik-02_01.ogg,David,2.0935,16000,0.1353426846590909,1749.3071493288157,3601.089015151515,-258.13895,81.35915,-15.108886,16.23527,-11.381351,-5.016266,-17.531733,-9.958229,1.2364479,-10.715164,-16.520155,-3.831675,0.2553569,0.109760895,[170.45454545]
Audios/David/Irma-01_02.ogg,Irma-01_02.ogg,David,2.1178125,16000,0.15999591884328357,1863.0864860775116,3617.5373134328356,-306.5524,80.73619,10.089848,27.355309,-2.6913712,-22.71289,-4.081596,-0.37279662,-17.307823,-4.5011764,-2.402504,-12.876314,-0.018459797,0.07285002,[144.23076923]
Audios/David/Daniel-02_02.ogg,Daniel-02_02.ogg,David,3.4335,16000,0.12361201533564815,1804.0100613614081,3719.6903935185187,-453.95386,82.82913,16.57722,22.425638,9.336485,-0.57030994,-14.683095,0.35982627,-1.7859383,-2.901377,-5.588565,-0.30492836,1.6513381,0.019508552,[156.25]
