timestamp,sensor,x,y,z,w,accuracy
1740367481.308,accel,9.251195,-0.21547815,0.7469909,,
1740367481.368,accel,10.309433,-0.7086837,0.521936,,
1740367481.428,accel,10.25676,0.90500826,0.5315128,,
1740367481.488,accel,9.303867,-0.50757074,2.3080103,,
1740367481.55,accel,11.195287,1.6136919,2.504335,,
1740367481.624,accel,9.160215,-1.283292,3.1507695,,
1740367481.672,accel,9.701305,-0.08619126,1.3551182,,
1740367481.727,accel,10.01734,-0.19632454,2.2266076,,
1740367481.788,accel,9.80665,0.047884032,1.4748282,,
1740367481.847,accel,10.338163,0.009576807,3.8163576,,
1740367481.848,accel,9.370906,-0.6847417,1.5849615,,
1740367481.907,accel,9.68694,-0.11492168,1.0773908,,
1740367481.969,accel,9.65821,-0.090979666,-0.641646,,
1740367482.028,accel,9.356541,0.36870706,-1.0821792,,
1740367482.088,accel,9.275137,-0.41180268,-0.11492168,,
1740367482.148,accel,10.084377,0.56982,0.92416185,,
1740367482.208,accel,9.706094,0.4213795,2.4277205,,
1740367482.268,accel,8.935161,-0.6943185,-2.1547816,,
1740367482.328,accel,9.921572,0.40701428,-1.5753847,,
1740367482.388,accel,10.19451,0.62249243,0.033518825,,
1740367482.448,accel,9.787497,-0.47884035,0.7134721,,
1740367482.508,accel,9.830592,0.18674773,-0.5746084,,
1740367482.568,accel,10.0987425,0.4165911,-0.8475474,,
1740367482.628,accel,9.710882,0.10534488,-0.9816227,,
1740367482.687,accel,9.768343,0.2681506,-0.866701,,
1740367482.747,accel,9.600749,-0.11492168,-0.29688102,,
1740367482.807,accel,10.0508585,0.521936,-0.02873042,,
1740367482.868,accel,9.821015,-0.521936,0.20111294,,
1740367482.927,accel,10.036493,-0.1388637,0.21547815,,
1740367482.988,accel,9.787497,-0.15322891,-0.49799395,,
1740367483.049,accel,9.639056,-0.7661445,-0.35434186,,
1740367483.108,accel,9.940725,0.06703765,-0.062249243,,
1740367483.168,accel,9.624691,-0.5410896,-0.33997664,,
1740367483.274,accel,10.117896,0.16280572,-0.11492168,,
1740367483.326,accel,9.878476,-0.36391866,0.41180268,,
1740367483.376,accel,10.160992,0.2825158,-0.40222588,,
1740367483.407,accel,9.68694,-0.33518824,0.01436521,,
1740367483.467,accel,9.993398,0.08140286,0.019153614,,
1740367483.468,accel,9.907207,-0.11492168,0.19632454,,
1740367483.527,accel,9.825804,-0.16280572,0.038307227,,
1740367483.528,accel,9.844957,-0.038307227,-0.07182605,,
1740367483.588,accel,9.816227,0.033518825,-0.36870706,,
1740367483.647,accel,9.964667,0.009576807,0.06703765,,
1740367483.707,accel,9.892841,-0.038307227,-0.2777274,,
1740367483.767,accel,9.950302,-0.110133275,-0.17717093,,
1740367483.827,accel,9.902418,-0.1388637,-0.033518825,,
1740367483.888,accel,9.9550905,0.076614454,-0.34476504,,
1740367483.948,accel,9.672575,-0.29688102,-0.22026655,,
1740367484.007,accel,9.916783,-0.04309563,-0.22505496,,
1740367484.067,accel,9.988609,0.0,0.10534488,,
1740367484.128,accel,9.80665,-0.12928689,-0.25857377,,
1740367484.188,accel,9.811439,-0.24420857,-0.2681506,,
1740367484.247,accel,9.959879,0.10055647,-0.038307227,,
1740367484.308,accel,10.213664,0.320823,-0.110133275,,
1740367484.367,accel,9.902418,-0.06703765,-0.16759412,,
1740367484.368,accel,10.012551,0.110133275,-0.009576807,,
1740367484.428,accel,9.854534,-0.033518825,-0.1436521,,
1740367484.487,accel,9.753978,-0.15322891,0.04309563,,
1740367484.548,accel,9.811439,-0.22984336,-0.18674773,,
1740367484.608,accel,10.031705,0.17238252,0.047884032,,
1740367484.668,accel,9.9550905,0.08619126,0.019153614,,
1740367484.728,accel,9.782708,-0.20590134,-0.4405331,,
1740367484.788,accel,9.921572,0.05267244,-0.1388637,,
1740367484.848,accel,9.849746,-0.11492168,-0.16759412,,
1740367484.933,accel,9.821015,-0.19632454,-0.35913026,,
1740367484.979,accel,9.859323,-0.08140286,0.02873042,,
1740367485.027,accel,9.835381,-0.08619126,-0.22026655,,
1740367485.088,accel,9.974244,0.062249243,-0.19153613,,
1740367485.148,accel,9.974244,0.11971009,-0.17238252,,
1740367485.208,accel,9.89763,-0.090979666,-0.07182605,,
1740367485.268,accel,9.868899,0.033518825,-0.30166942,,
1740367485.328,accel,9.859323,0.0047884034,-0.21547815,,
1740367485.388,accel,10.04607,0.1436521,0.033518825,,
1740367485.448,accel,9.907207,-0.009576807,-0.038307227,,
1740367485.449,accel,9.911995,-0.047884032,-0.10055647,,
1740367485.508,accel,9.969456,0.17238252,0.033518825,,
1740367485.567,accel,9.983821,0.023942016,0.30166942,,
1740367485.628,accel,9.624691,-0.20590134,0.4261679,,
1740367485.688,accel,10.084377,0.20111294,-0.05746084,,
1740367485.748,accel,10.031705,0.5506664,-0.59376204,,
1740367485.808,accel,9.878476,-0.1436521,0.58897364,,
1740367485.867,accel,10.108319,-0.46447513,0.41180268,,
1740367485.927,accel,9.89763,0.1388637,-2.566584,,
1740367485.989,accel,9.500193,-0.5746084,-1.6136919,,
1740367486.048,accel,9.576807,-0.9528923,-0.5554548,,
1740367486.107,accel,9.715671,-0.62249243,-2.4756045,,
1740367486.108,accel,9.65821,-0.91937345,-1.4891934,,
1740367486.168,accel,9.188946,-1.8148049,-1.5993267,,
1740367486.227,accel,9.859323,-1.1444284,-2.4708161,,
1740367486.289,accel,9.888053,-1.412579,-1.5035586,,
1740367481.429,gyro,-2.0427334,0.30665436,0.09040806,,
1740367481.489,gyro,-0.9309586,0.12339478,0.31887165,,
1740367482.029,gyro,1.1716396,-0.20280726,0.05497787,,
1740367482.629,gyro,0.18448131,0.07574729,0.10140363,,
1740367482.688,gyro,-0.16982053,0.13072516,0.07819075,,
1740367482.748,gyro,0.02443461,0.029321533,0.10140363,,
1740367482.808,gyro,-0.17837265,0.056199603,0.0036651916,,
1740367482.928,gyro,-0.04886922,0.111177474,-0.05375614,,
1740367483.377,gyro,-0.26511553,0.002443461,-0.002443461,,
1740367483.408,gyro,-0.007330383,-0.08552113,0.019547688,,
1740367483.708,gyro,-0.014660766,-0.03176499,-0.039095376,,
1740367483.768,gyro,-0.05009095,0.0012217305,0.0061086523,,
1740367483.828,gyro,0.030543262,0.013439035,0.015882496,,
