timestamp,sensor,x,y,z,w,accuracy
1740359346.067,accel,-9.524135,-0.47884035,2.4708161,,
1740359346.126,accel,-8.882488,-0.6560113,2.4133554,,
1740359346.188,accel,-8.973468,-0.6655881,1.934515,,
1740359346.249,accel,-9.667787,-0.5506664,2.3894134,,
1740359346.307,accel,-9.361329,-0.6655881,1.4939818,,
1740359346.366,accel,-10.041282,0.04309563,0.9959879,,
1740359346.476,accel,-9.792285,0.076614454,0.5315128,,
1740359346.53,accel,-10.065224,0.15322891,0.7469909,,
1740359346.567,accel,-9.437943,-0.6655881,-0.33039984,,
1740359346.606,accel,-9.02614,-1.0390835,-0.8762778,,
1740359346.667,accel,-9.346964,-0.59855044,-0.48841715,,
1740359346.726,accel,-9.11712,-0.78050977,-0.08140286,,
1740359346.787,accel,-8.7053175,-1.3311762,0.5650316,,
1740359346.846,accel,-9.23683,-0.9720459,-0.770933,,
1740359346.909,accel,-9.710882,-1.0773908,0.63206923,,
1740359346.966,accel,-9.260772,-0.11492168,0.7326257,,
1740359347.027,accel,-10.0269165,-0.30645782,0.038307227,,
1740359347.086,accel,-10.022128,-0.51714754,0.17717093,,
1740359347.147,accel,-10.314221,-0.7757214,-1.0821792,,
1740359347.207,accel,-9.552865,-0.92416185,-0.7086837,,
1740359347.267,accel,-10.093954,-1.2066777,-0.22505496,,
1740359347.326,accel,-10.108319,-0.7469909,0.51235914,,
1740359347.327,accel,-10.160992,-0.7374141,0.5363012,,
1740359347.388,accel,-9.864111,-1.283292,0.15322891,,
1740359347.447,accel,-9.763555,-0.89064306,1.0534488,,
1740359347.507,accel,-9.89763,-0.94331545,1.0295067,,
1740359347.567,accel,-9.610326,-1.2449849,0.8810662,,
1740359347.627,accel,-10.496181,-1.2066777,0.51235914,,
1740359347.687,accel,-9.931149,-0.5793968,0.7134721,,
1740359347.747,accel,-9.088389,-0.7182605,0.61291564,,
1740359347.807,accel,-9.160215,0.6895301,1.2497733,,
1740359347.869,accel,-9.131485,0.33039984,1.2258313,,
1740359347.927,accel,-9.864111,0.19632454,0.14844051,,
1740359347.99,accel,-9.835381,0.5410896,-0.79487497,,
1740359348.05,accel,-6.6271505,-1.8291701,0.45968673,,
1740359348.127,accel,-11.348516,0.49320555,0.8475474,,
1740359348.172,accel,-10.381259,-0.30166942,0.15322891,,
1740359348.227,accel,-9.528923,-1.6424223,-0.08140286,,
1740359348.288,accel,-10.25676,-0.770933,0.94331545,,
1740359348.349,accel,-9.5385,-1.1444284,0.63206923,,
1740359348.407,accel,-9.572019,-0.6560113,0.8762778,,
1740359348.468,accel,-9.68694,-0.8523358,0.6895301,,
1740359348.528,accel,-9.423578,-1.1827357,0.15801731,,
1740359348.588,accel,-9.270349,-1.13964,1.1348516,,
1740359348.648,accel,-9.682152,-0.90021986,1.2545617,,
1740359348.708,accel,-9.77792,-1.0151415,0.78529817,,
1740359348.768,accel,-9.346964,-0.770933,0.94331545,,
1740359348.828,accel,-9.452309,-0.94810385,-0.21068975,,
1740359348.888,accel,-9.801862,-0.59855044,0.50278234,,
1740359348.948,accel,-9.835381,-0.17238252,0.60812724,,
1740359349.008,accel,-9.442732,-0.4405331,0.521936,,
1740359349.009,accel,-9.217676,-0.4357447,0.8283938,,
1740359349.068,accel,-9.452309,-0.20590134,0.8858546,,
1740359349.128,accel,-9.500193,-0.48362875,0.9768343,,
1740359349.188,accel,-9.844957,-0.5410896,0.8762778,,
1740359349.247,accel,-9.77792,-0.6560113,0.521936,,
1740359349.308,accel,-9.222465,-1.0151415,0.80445176,,
1740359349.368,accel,-9.514558,-0.7422025,0.93373865,,
1740359349.428,accel,-9.504981,-0.6991069,0.58897364,,
1740359349.488,accel,-9.639056,-0.59855044,0.7661445,,
1740359349.548,accel,-9.715671,-0.6368576,0.6751649,,
1740359349.609,accel,-9.921572,-0.51235914,0.6991069,,
1740359349.67,accel,-9.859323,-0.5410896,0.61770403,,
1740359349.769,accel,-9.648633,-0.7565677,0.7278373,,
1740359349.818,accel,-9.294291,-0.9528923,0.91458505,,
1740359349.856,accel,-9.68694,-0.6512229,0.5554548,,
1740359349.908,accel,-9.471462,-1.0151415,0.3878607,,
1740359349.968,accel,-9.533711,-1.0247183,0.19153613,,
1740359350.029,accel,-9.911995,-0.29688102,1.3455414,,
1740359350.088,accel,-9.706094,-0.45489833,1.1492168,,
1740359350.149,accel,-9.68694,-0.47405192,0.62249243,,
1740359350.207,accel,-9.591172,-0.36870706,1.1827357,,
1740359350.267,accel,-9.744401,-0.39743748,1.1300632,,
1740359350.328,accel,-9.524135,-1.1923125,0.090979666,,
1740359350.329,accel,-9.758766,-0.81881696,0.15801731,,
1740359350.388,accel,-9.672575,-0.80924016,0.6655881,,
1740359350.448,accel,-9.959879,-0.4309563,0.81402856,,
1740359350.508,accel,-9.605537,-0.38307226,0.7278373,,
1740359350.568,accel,-9.610326,-0.90500826,-0.062249243,,
1740359350.628,accel,-9.557653,-1.3455414,-0.8331822,,
1740359350.629,accel,-9.423578,-1.0965444,0.04309563,,
1740359350.688,accel,-9.548077,-0.7422025,1.292869,,
1740359350.75,accel,-9.3661175,-0.41180268,2.2984335,,
